,STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
0,3451.0,3.0,1.0,1.0,1.0,1.0,44584.0,2.0,1.0,100.0,2433.0,417.0,79.0,338.0,2.0,5.0,30.0,42.0,39.0,275.0,24.0,5.397605346934028e-79,286.0,31.0,39.0,5.397605346934028e-79,21.0,29.0,20.0,5.397605346934028e-79,4.0,221.0,54.0,37.0,11.0,5.0,1.0,167.0,14.0,138.0,14.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,20.0,105.0,210.0,146.0,53.0,2.0,769.0,5.397605346934028e-79,53.0,7.0
1,3451.0,3.0,1.0,2.0,1.0,3.0,140415.0,13.0,5.397605346934028e-79,38.5094,8881.0,1035.0,234.0,801.0,9.0,16.0,32.0,177.0,127.0,632.0,35.0,6.0,1097.0,71.0,489.0,5.397605346934028e-79,135.0,93.0,33.0,5.397605346934028e-79,16.0,610.0,29.0,12.0,10.0,4.0,3.0,581.0,61.0,499.0,16.0,5.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,86.0,1302.0,396.0,512.0,147.0,8.0,2833.0,5.397605346934028e-79,2.0,13.0
2,3451.0,3.0,1.0,3.0,1.0,5.0,29038.0,5.0,5.397605346934028e-79,7.1871,1652.0,225.0,66.0,159.0,2.0,3.0,9.0,52.0,27.0,124.0,7.0,1.0,228.0,20.0,101.0,5.397605346934028e-79,15.0,22.0,12.0,5.397605346934028e-79,3.0,100.0,6.0,2.0,2.0,2.0,1.0,94.0,14.0,72.0,7.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,10.0,159.0,81.0,87.0,41.0,2.0,540.0,5.397605346934028e-79,2.0,1.0
3,3451.0,3.0,1.0,4.0,1.0,7.0,20826.0,4.0,5.397605346934028e-79,11.841,830.0,94.0,30.0,64.0,1.0,2.0,4.0,22.0,13.0,47.0,4.0,1.0,122.0,9.0,79.0,5.397605346934028e-79,8.0,11.0,5.0,5.397605346934028e-79,2.0,53.0,4.0,1.0,2.0,1.0,1.0,49.0,7.0,35.0,5.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,10.0,75.0,35.0,37.0,15.0,5.397605346934028e-79,272.0,5.397605346934028e-79,1.0,5.397605346934028e-79
4,3451.0,3.0,1.0,5.0,1.0,9.0,51024.0,6.0,5.397605346934028e-79,97.7344,1447.0,103.0,19.0,85.0,5.397605346934028e-79,4.0,5.0,10.0,8.0,69.0,7.0,5.397605346934028e-79,136.0,14.0,149.0,5.397605346934028e-79,7.0,10.0,5.0,5.397605346934028e-79,3.0,87.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,86.0,3.0,68.0,15.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,7.0,143.0,149.0,28.0,13.0,5.397605346934028e-79,584.0,5.397605346934028e-79,7.0,5.397605346934028e-79
5,3451.0,3.0,1.0,6.0,1.0,11.0,11714.0,2.0,5.397605346934028e-79,68.67,277.0,37.0,9.0,28.0,5.397605346934028e-79,5.397605346934028e-79,2.0,7.0,3.0,23.0,1.0,5.397605346934028e-79,36.0,3.0,11.0,5.397605346934028e-79,3.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79,18.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,17.0,2.0,13.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,30.0,16.0,17.0,7.0,5.397605346934028e-79,94.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
6,3451.0,3.0,1.0,7.0,1.0,13.0,21399.0,4.0,5.397605346934028e-79,58.1055,717.0,99.0,31.0,68.0,1.0,1.0,4.0,25.0,9.0,55.0,4.0,5.397605346934028e-79,93.0,7.0,28.0,5.397605346934028e-79,6.0,8.0,5.0,5.397605346934028e-79,1.0,47.0,4.0,3.0,5.397605346934028e-79,1.0,5.397605346934028e-79,43.0,7.0,33.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,76.0,45.0,42.0,17.0,1.0,239.0,5.397605346934028e-79,1.0,1.0
7,3451.0,3.0,1.0,8.0,1.0,15.0,114345.0,8.0,1.0,79.1211,8709.0,1004.0,292.0,712.0,10.0,19.0,61.0,201.0,161.0,502.0,45.0,5.0,969.0,98.0,567.0,5.0,150.0,121.0,74.0,1.0,25.0,501.0,11.0,4.0,2.0,2.0,2.0,490.0,85.0,333.0,64.0,9.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,12.0,788.0,467.0,434.0,195.0,3.0,3261.0,5.397605346934028e-79,3.0,33.0
8,3451.0,3.0,1.0,9.0,1.0,17.0,36583.0,4.0,5.397605346934028e-79,74.8572,2222.0,254.0,96.0,158.0,6.0,3.0,17.0,70.0,26.0,123.0,7.0,1.0,353.0,13.0,93.0,5.397605346934028e-79,18.0,24.0,10.0,5.397605346934028e-79,4.0,161.0,14.0,12.0,1.0,1.0,5.397605346934028e-79,147.0,33.0,103.0,3.0,8.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,10.0,227.0,61.0,95.0,50.0,2.0,845.0,5.397605346934028e-79,1.0,1.0
9,3451.0,3.0,1.0,10.0,1.0,19.0,23980.0,3.0,1.0,13.4112,925.0,91.0,29.0,61.0,2.0,2.0,3.0,22.0,14.0,41.0,6.0,1.0,144.0,9.0,101.0,5.397605346934028e-79,11.0,14.0,5.0,5.397605346934028e-79,2.0,56.0,4.0,1.0,2.0,1.0,1.0,52.0,7.0,37.0,6.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,14.0,83.0,48.0,38.0,14.0,5.397605346934028e-79,293.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
